証券コード,会社名,基準日,区分,株主数,所有株式数_単元,割合
3104,富士紡ホールディングス株式会社,2026-03-31,金融機関,26,"45,129",39.91
3104,富士紡ホールディングス株式会社,2026-03-31,金融商品取引業者,24,"1,406",1.24
3104,富士紡ホールディングス株式会社,2026-03-31,その他の法人,84,"4,472",3.96
3104,富士紡ホールディングス株式会社,2026-03-31,外国法人等 個人以外,110,"43,605",38.56
3104,富士紡ホールディングス株式会社,2026-03-31,外国法人等 個人,6,49,0.04
3104,富士紡ホールディングス株式会社,2026-03-31,個人その他,"3,222","18,329",16.21
3104,富士紡ホールディングス株式会社,2026-03-31,計,"3,475","113,075",100.00
3104,富士紡ホールディングス株式会社,2026-03-31,単元未満株式の状況(株),,"46,500",
3105,日清紡ホールディングス株式会社,2025-12-31,政府及び地方公共団体,,,
3105,日清紡ホールディングス株式会社,2025-12-31,金融機関,30,"439,872",26.06
3105,日清紡ホールディングス株式会社,2025-12-31,金融商品取引業者,37,"62,958",3.73
3105,日清紡ホールディングス株式会社,2025-12-31,その他の法人,570,"214,070",12.68
3105,日清紡ホールディングス株式会社,2025-12-31,外国法人等 個人以外,247,"424,754",25.17
3105,日清紡ホールディングス株式会社,2025-12-31,外国法人等 個人,78,414,0.02
3105,日清紡ホールディングス株式会社,2025-12-31,個人その他,"52,059","545,533",32.33
3105,日清紡ホールディングス株式会社,2025-12-31,計,"53,021","1,687,601",100.00
3105,日清紡ホールディングス株式会社,2025-12-31,単元未満株式の状況(株),,"568,739",
3106,倉敷紡績株式会社,2026-03-31,政府及び地方公共団体,,,
3106,倉敷紡績株式会社,2026-03-31,金融機関,33,"65,355",38.72
3106,倉敷紡績株式会社,2026-03-31,金融商品取引業者,31,"1,043",0.62
3106,倉敷紡績株式会社,2026-03-31,その他の法人,139,"26,531",15.72
3106,倉敷紡績株式会社,2026-03-31,外国法人等 個人以外,162,"38,627",22.89
3106,倉敷紡績株式会社,2026-03-31,外国法人等 個人,13,62,0.03
3106,倉敷紡績株式会社,2026-03-31,個人その他,"11,168","37,162",22.02
3106,倉敷紡績株式会社,2026-03-31,計,"11,546","168,780",100.00
3106,倉敷紡績株式会社,2026-03-31,単元未満株式の状況（株）,,"122,000",
3107,ダイワボウホールディングス株式会社,2026-03-31,政府及び地方公共団体,1,5,0.00
3107,ダイワボウホールディングス株式会社,2026-03-31,金融機関,41,"313,462",35.48
3107,ダイワボウホールディングス株式会社,2026-03-31,金融商品取引業者,33,"37,351",4.23
3107,ダイワボウホールディングス株式会社,2026-03-31,その他の法人,186,"34,015",3.85
3107,ダイワボウホールディングス株式会社,2026-03-31,外国法人等 個人以外,241,"356,262",40.32
3107,ダイワボウホールディングス株式会社,2026-03-31,外国法人等 個人,13,54,0.01
3107,ダイワボウホールディングス株式会社,2026-03-31,個人その他,"8,192","142,390",16.11
3107,ダイワボウホールディングス株式会社,2026-03-31,計,"8,707","883,539",100.00
3107,ダイワボウホールディングス株式会社,2026-03-31,単元未満株式の状況（株）,,"125,128",
3109,シキボウ株式会社,2026-03-31,政府及び地方公共団体,1,1,0.00
3109,シキボウ株式会社,2026-03-31,金融機関,14,"20,411",16.04
3109,シキボウ株式会社,2026-03-31,金融商品取引業者,24,"5,276",4.15
3109,シキボウ株式会社,2026-03-31,その他の法人,128,"6,212",4.88
3109,シキボウ株式会社,2026-03-31,外国法人等 個人以外,49,"3,746",2.94
3109,シキボウ株式会社,2026-03-31,外国法人等 個人,64,325,0.26
3109,シキボウ株式会社,2026-03-31,個人その他,"14,190","91,249",71.73
3109,シキボウ株式会社,2026-03-31,計,"14,470","127,220",100
3109,シキボウ株式会社,2026-03-31,単元未満株式の状況(株),,"88,829",
3110,日東紡績株式会社,2026-03-31,政府及び地方公共団体,,,
3110,日東紡績株式会社,2026-03-31,金融機関,40,"141,701",37.70
3110,日東紡績株式会社,2026-03-31,金融商品取引業者,47,"5,687",1.51
3110,日東紡績株式会社,2026-03-31,その他の法人,276,"66,172",17.60
3110,日東紡績株式会社,2026-03-31,外国法人等 個人以外,335,"114,961",30.58
3110,日東紡績株式会社,2026-03-31,外国法人等 個人,87,174,0.05
3110,日東紡績株式会社,2026-03-31,個人その他,"9,713","47,208",12.56
3110,日東紡績株式会社,2026-03-31,計,"10,498","375,903",100.00
3110,日東紡績株式会社,2026-03-31,単元未満株式の状況(株),,"132,712",
3113,株式会社ＵＮＩＶＡ・Ｏａｋホールディングス,2026-03-31,政府及び地方公共団体,,,
3113,株式会社ＵＮＩＶＡ・Ｏａｋホールディングス,2026-03-31,金融機関,2,702,0.08
3113,株式会社ＵＮＩＶＡ・Ｏａｋホールディングス,2026-03-31,金融商品取引業者,20,"31,202",3.87
3113,株式会社ＵＮＩＶＡ・Ｏａｋホールディングス,2026-03-31,その他の法人,79,"237,723",29.52
3113,株式会社ＵＮＩＶＡ・Ｏａｋホールディングス,2026-03-31,外国法人等 個人以外,23,"109,724",13.62
3113,株式会社ＵＮＩＶＡ・Ｏａｋホールディングス,2026-03-31,外国法人等 個人,46,"1,133",0.14
3113,株式会社ＵＮＩＶＡ・Ｏａｋホールディングス,2026-03-31,個人その他,"13,511","424,776",52.75
3113,株式会社ＵＮＩＶＡ・Ｏａｋホールディングス,2026-03-31,計,"13,681","805,260",100
3113,株式会社ＵＮＩＶＡ・Ｏａｋホールディングス,2026-03-31,単元未満株式の状況（株）,,"150,080",
3116,トヨタ紡織株式会社,2026-03-31,政府及び地方公共団体,,,
3116,トヨタ紡織株式会社,2026-03-31,金融機関,45,"244,154",13.01
3116,トヨタ紡織株式会社,2026-03-31,金融商品取引業者,37,"19,610",1.05
3116,トヨタ紡織株式会社,2026-03-31,その他の法人,244,"936,686",49.94
3116,トヨタ紡織株式会社,2026-03-31,外国法人等 個人以外,302,"348,591",18.59
3116,トヨタ紡織株式会社,2026-03-31,外国法人等 個人,69,69,0.00
3116,トヨタ紡織株式会社,2026-03-31,個人その他,"28,697","326,477",17.41
3116,トヨタ紡織株式会社,2026-03-31,計,"29,394","1,875,587",100.00
3116,トヨタ紡織株式会社,2026-03-31,単元未満株式の状況(株),,"107,038",
3121,マーチャント・バンカーズ株式会社,2025-10-31,政府及び地方公共団体,,,
3121,マーチャント・バンカーズ株式会社,2025-10-31,金融機関,2,272,0.1
3121,マーチャント・バンカーズ株式会社,2025-10-31,金融商品取引業者,20,"5,333",1.7
3121,マーチャント・バンカーズ株式会社,2025-10-31,その他の法人,83,"162,254",51.0
3121,マーチャント・バンカーズ株式会社,2025-10-31,外国法人等 個人以外,20,"62,588",19.7
3121,マーチャント・バンカーズ株式会社,2025-10-31,外国法人等 個人,75,919,0.3
3121,マーチャント・バンカーズ株式会社,2025-10-31,個人その他,"12,655","86,413",27.2
3121,マーチャント・バンカーズ株式会社,2025-10-31,計,"12,855","317,779",100.00
3121,マーチャント・バンカーズ株式会社,2025-10-31,単元未満株式の状況(株),,"28,290",
3123,サイボー株式会社,2026-03-31,政府及び地方公共団体,,,
3123,サイボー株式会社,2026-03-31,金融機関,7,"10,979",8.08
3123,サイボー株式会社,2026-03-31,金融商品取引業者,15,"8,350",6.14
3123,サイボー株式会社,2026-03-31,その他の法人,47,"54,818",40.32
3123,サイボー株式会社,2026-03-31,外国法人等 個人以外,15,"3,185",2.34
3123,サイボー株式会社,2026-03-31,外国法人等 個人,7,821,0.60
3123,サイボー株式会社,2026-03-31,個人その他,"1,213","57,814",42.52
3123,サイボー株式会社,2026-03-31,計,"1,304","135,967",100.00
3123,サイボー株式会社,2026-03-31,単元未満株式の状況(株),,"3,300",
3131,シンデン・ハイテックス株式会社,2026-03-31,政府及び地方公共団体,,,
3131,シンデン・ハイテックス株式会社,2026-03-31,金融機関,1,18,0.08
3131,シンデン・ハイテックス株式会社,2026-03-31,金融商品取引業者,19,481,2.29
3131,シンデン・ハイテックス株式会社,2026-03-31,その他の法人,24,"1,169",5.56
3131,シンデン・ハイテックス株式会社,2026-03-31,外国法人等 個人以外,20,893,4.24
3131,シンデン・ハイテックス株式会社,2026-03-31,外国法人等 個人,14,160,0.76
3131,シンデン・ハイテックス株式会社,2026-03-31,個人その他,"2,593","18,319",87.07
3131,シンデン・ハイテックス株式会社,2026-03-31,計,"2,671","21,040",100.00
3131,シンデン・ハイテックス株式会社,2026-03-31,単元未満株式の状況（株）,,"6,200",
3132,マクニカホールディングス株式会社,2026-03-31,政府及び地方公共団体,,,
3132,マクニカホールディングス株式会社,2026-03-31,金融機関,36,"466,403",26.08
3132,マクニカホールディングス株式会社,2026-03-31,金融商品取引業者,46,"29,129",1.63
3132,マクニカホールディングス株式会社,2026-03-31,その他の法人,199,"322,581",18.03
3132,マクニカホールディングス株式会社,2026-03-31,外国法人等 個人以外,275,"548,695",30.68
3132,マクニカホールディングス株式会社,2026-03-31,外国法人等 個人,50,"1,067",0.06
3132,マクニカホールディングス株式会社,2026-03-31,個人その他,"27,426","420,791",23.53
3132,マクニカホールディングス株式会社,2026-03-31,計,"28,032","1,788,666",100.00
3132,マクニカホールディングス株式会社,2026-03-31,単元未満株式の状況(株),,"205,546",
3133,株式会社海帆,2026-03-31,政府及び地方公共団体,,,
3133,株式会社海帆,2026-03-31,金融機関,2,230,0.04
3133,株式会社海帆,2026-03-31,金融商品取引業者,26,"22,638",3.88
3133,株式会社海帆,2026-03-31,その他の法人,198,"13,631",2.34
3133,株式会社海帆,2026-03-31,外国法人等 個人以外,30,"6,022",1.03
3133,株式会社海帆,2026-03-31,外国法人等 個人,99,"1,316",0.23
3133,株式会社海帆,2026-03-31,個人その他,"28,683","539,320",92.48
3133,株式会社海帆,2026-03-31,計,"29,038","583,157",100.00
3133,株式会社海帆,2026-03-31,単元未満株式の状況（株）,,"40,083",
3134,Ｈａｍｅｅ株式会社,2026-04-30,政府及び地方公共団体,,,
3134,Ｈａｍｅｅ株式会社,2026-04-30,金融機関,8,"8,424",5.17
3134,Ｈａｍｅｅ株式会社,2026-04-30,金融商品取引業者,15,929,0.57
3134,Ｈａｍｅｅ株式会社,2026-04-30,その他の法人,80,"54,620",33.50
3134,Ｈａｍｅｅ株式会社,2026-04-30,外国法人等 個人以外,36,"3,313",2.03
3134,Ｈａｍｅｅ株式会社,2026-04-30,外国法人等 個人,51,273,0.17
3134,Ｈａｍｅｅ株式会社,2026-04-30,個人その他,"17,311","95,481",58.56
3134,Ｈａｍｅｅ株式会社,2026-04-30,計,"17,501","163,040",100.00
3134,Ｈａｍｅｅ株式会社,2026-04-30,単元未満株式の状況(株),,"24,100",
3135,株式会社マーケットエンタープライズ,2025-06-30,政府及び地方公共団体,,,
3135,株式会社マーケットエンタープライズ,2025-06-30,金融機関,2,137,0.26
3135,株式会社マーケットエンタープライズ,2025-06-30,金融商品取引業者,16,"2,141",4.00
3135,株式会社マーケットエンタープライズ,2025-06-30,その他の法人,43,"21,240",39.70
3135,株式会社マーケットエンタープライズ,2025-06-30,外国法人等 個人以外,15,"2,150",4.02
3135,株式会社マーケットエンタープライズ,2025-06-30,外国法人等 個人,5,19,0.04
3135,株式会社マーケットエンタープライズ,2025-06-30,個人その他,"3,089","27,810",51.98
3135,株式会社マーケットエンタープライズ,2025-06-30,計,"3,170","53,497",100.00
3135,株式会社マーケットエンタープライズ,2025-06-30,単元未満株式の状況（株）,,"2,100",
3137,株式会社ファンデリー,2026-03-31,政府及び地方公共団体,,,
3137,株式会社ファンデリー,2026-03-31,金融機関,1,28,0.02
3137,株式会社ファンデリー,2026-03-31,金融商品取引業者,9,599,0.46
3137,株式会社ファンデリー,2026-03-31,その他の法人,39,306,0.24
3137,株式会社ファンデリー,2026-03-31,外国法人等 個人以外,14,956,0.74
3137,株式会社ファンデリー,2026-03-31,外国法人等 個人,65,172,0.13
3137,株式会社ファンデリー,2026-03-31,個人その他,"8,917","127,306",98.41
3137,株式会社ファンデリー,2026-03-31,計,"9,045","129,367",100.00
3137,株式会社ファンデリー,2026-03-31,単元未満株式の状況（株）,,"3,500",
3138,株式会社富士山マガジンサービス,2025-12-31,政府及び地方公共団体,,,
3138,株式会社富士山マガジンサービス,2025-12-31,金融機関,1,4,0.01
3138,株式会社富士山マガジンサービス,2025-12-31,金融商品取引業者,16,505,1.53
3138,株式会社富士山マガジンサービス,2025-12-31,その他の法人,19,"9,049",27.31
3138,株式会社富士山マガジンサービス,2025-12-31,外国法人等 個人以外,10,531,1.60
3138,株式会社富士山マガジンサービス,2025-12-31,外国法人等 個人,6,176,0.53
3138,株式会社富士山マガジンサービス,2025-12-31,個人その他,"2,330","22,864",69.02
3138,株式会社富士山マガジンサービス,2025-12-31,計,"2,382","33,129",100.0
3138,株式会社富士山マガジンサービス,2025-12-31,単元未満株式の状況(株),,"2,720",
3139,株式会社ラクト・ジャパン,2025-11-30,政府及び地方公共団体,,,
3139,株式会社ラクト・ジャパン,2025-11-30,金融機関,13,"19,749",19.760
3139,株式会社ラクト・ジャパン,2025-11-30,金融商品取引業者,22,"3,845",3.847
3139,株式会社ラクト・ジャパン,2025-11-30,その他の法人,128,"12,960",12.967
3139,株式会社ラクト・ジャパン,2025-11-30,外国法人等 個人以外,47,"3,792",3.794
3139,株式会社ラクト・ジャパン,2025-11-30,外国法人等 個人,68,127,0.127
3139,株式会社ラクト・ジャパン,2025-11-30,個人その他,"18,869","59,467",59.502
3139,株式会社ラクト・ジャパン,2025-11-30,計,"19,147","99,940",100.000
3139,株式会社ラクト・ジャパン,2025-11-30,単元未満株式の状況(株),,"27,600",
3140,ＢＲＵＮＯ株式会社,2025-06-30,政府及び地方公共団体,,,
3140,ＢＲＵＮＯ株式会社,2025-06-30,金融機関,1,3,0.0
3140,ＢＲＵＮＯ株式会社,2025-06-30,金融商品取引業者,12,243,0.1
3140,ＢＲＵＮＯ株式会社,2025-06-30,その他の法人,74,"76,496",51.9
3140,ＢＲＵＮＯ株式会社,2025-06-30,外国法人等 個人以外,10,298,0.2
3140,ＢＲＵＮＯ株式会社,2025-06-30,外国法人等 個人,64,120,0.0
3140,ＢＲＵＮＯ株式会社,2025-06-30,個人その他,"30,825","69,977",47.5
3140,ＢＲＵＮＯ株式会社,2025-06-30,計,"30,986","147,137",100.0
3140,ＢＲＵＮＯ株式会社,2025-06-30,単元未満株式の状況(株),,"3,650",
3143,オーウイル株式会社,2026-03-31,政府及び地方公共団体,,,
3143,オーウイル株式会社,2026-03-31,金融機関,2,"1,044",1.11
3143,オーウイル株式会社,2026-03-31,金融商品取引業者,17,"2,038",2.16
3143,オーウイル株式会社,2026-03-31,その他の法人,28,"31,667",33.54
3143,オーウイル株式会社,2026-03-31,外国法人等 個人以外,17,"1,281",1.36
3143,オーウイル株式会社,2026-03-31,外国法人等 個人,8,200,0.21
3143,オーウイル株式会社,2026-03-31,個人その他,"2,757","58,197",61.63
3143,オーウイル株式会社,2026-03-31,計,"2,829","94,427",100.00
3143,オーウイル株式会社,2026-03-31,単元未満株式の状況（株）,,"7,300",
3148,株式会社クリエイトＳＤホールディングス,2026-05-31,政府及び地方公共団体,,,
3148,株式会社クリエイトＳＤホールディングス,2026-05-31,金融機関,13,"58,169",8.71
3148,株式会社クリエイトＳＤホールディングス,2026-05-31,金融商品取引業者,18,"7,842",1.17
3148,株式会社クリエイトＳＤホールディングス,2026-05-31,その他の法人,188,"29,997",4.49
3148,株式会社クリエイトＳＤホールディングス,2026-05-31,外国法人等 個人以外,173,"100,562",15.05
3148,株式会社クリエイトＳＤホールディングス,2026-05-31,外国法人等 個人,48,135,0.02
3148,株式会社クリエイトＳＤホールディングス,2026-05-31,個人その他,"26,850","471,322",70.55
3148,株式会社クリエイトＳＤホールディングス,2026-05-31,計,"27,290","668,027",100
3148,株式会社クリエイトＳＤホールディングス,2026-05-31,単元未満株式の状況(株),,"16,642",
3150,株式会社グリムス,2026-03-31,政府及び地方公共団体,,,
3150,株式会社グリムス,2026-03-31,金融機関,8,"24,740",10.39
3150,株式会社グリムス,2026-03-31,金融商品取引業者,26,"4,448",1.87
3150,株式会社グリムス,2026-03-31,その他の法人,25,"20,681",8.68
3150,株式会社グリムス,2026-03-31,外国法人等 個人以外,108,"26,998",11.33
3150,株式会社グリムス,2026-03-31,外国法人等 個人,13,77,0.03
3150,株式会社グリムス,2026-03-31,個人その他,"2,511","161,279",67.70
3150,株式会社グリムス,2026-03-31,計,"2,691","238,223",100.00
3150,株式会社グリムス,2026-03-31,単元未満株式の状況(株),,"14,900",
3151,株式会社バイタルケーエスケー・ホールディングス,2026-03-31,政府及び地方公共団体,,,
3151,株式会社バイタルケーエスケー・ホールディングス,2026-03-31,金融機関,18,"71,901",13.87
3151,株式会社バイタルケーエスケー・ホールディングス,2026-03-31,金融商品取引業者,21,"10,033",1.93
3151,株式会社バイタルケーエスケー・ホールディングス,2026-03-31,その他の法人,139,"106,874",20.62
3151,株式会社バイタルケーエスケー・ホールディングス,2026-03-31,外国法人等 個人以外,118,"80,418",15.51
3151,株式会社バイタルケーエスケー・ホールディングス,2026-03-31,外国法人等 個人,51,441,0.08
3151,株式会社バイタルケーエスケー・ホールディングス,2026-03-31,個人その他,"10,682","248,616",47.96
3151,株式会社バイタルケーエスケー・ホールディングス,2026-03-31,計,"11,029","518,283",100.00
3151,株式会社バイタルケーエスケー・ホールディングス,2026-03-31,単元未満株式の状況(株),,"74,676",
3153,八洲電機株式会社,2026-03-31,政府及び地方公共団体,,,
3153,八洲電機株式会社,2026-03-31,金融機関,13,"31,601",14.5
3153,八洲電機株式会社,2026-03-31,金融商品取引業者,20,"2,550",1.2
3153,八洲電機株式会社,2026-03-31,その他の法人,103,"25,854",11.9
3153,八洲電機株式会社,2026-03-31,外国法人等 個人以外,53,"9,006",4.1
3153,八洲電機株式会社,2026-03-31,外国法人等 個人,13,22,0.0
3153,八洲電機株式会社,2026-03-31,個人その他,"24,317","148,625",68.3
3153,八洲電機株式会社,2026-03-31,計,"24,519","217,658",100.0
3153,八洲電機株式会社,2026-03-31,単元未満株式の状況(株),,"16,700",
3154,メディアスホールディングス株式会社,2025-06-30,政府及び地方公共団体,,,
3154,メディアスホールディングス株式会社,2025-06-30,金融機関,8,"12,427",5.6
3154,メディアスホールディングス株式会社,2025-06-30,金融商品取引業者,14,635,0.3
3154,メディアスホールディングス株式会社,2025-06-30,その他の法人,88,"70,785",31.8
3154,メディアスホールディングス株式会社,2025-06-30,外国法人等 個人以外,33,829,0.4
3154,メディアスホールディングス株式会社,2025-06-30,外国法人等 個人,17,30,0.0
3154,メディアスホールディングス株式会社,2025-06-30,個人その他,"13,533","137,580",61.9
3154,メディアスホールディングス株式会社,2025-06-30,計,"13,693","222,286",100.00
3154,メディアスホールディングス株式会社,2025-06-30,単元未満株式の状況(株),,"9,617",
3156,株式会社レスター,2026-03-31,政府及び地方公共団体,,,
3156,株式会社レスター,2026-03-31,金融機関,20,"79,296",26.41
3156,株式会社レスター,2026-03-31,金融商品取引業者,29,"3,813",1.27
3156,株式会社レスター,2026-03-31,その他の法人,92,"92,498",30.80
3156,株式会社レスター,2026-03-31,外国法人等 個人以外,103,"32,916",10.96
3156,株式会社レスター,2026-03-31,外国法人等 個人,19,100,0.03
3156,株式会社レスター,2026-03-31,個人その他,"10,233","91,666",30.53
3156,株式会社レスター,2026-03-31,計,"10,496","300,289",100.00
3156,株式会社レスター,2026-03-31,単元未満株式の状況(株),,"43,743",
3157,ジオリーブグループ株式会社,2026-03-31,政府及び地方公共団体,,,
3157,ジオリーブグループ株式会社,2026-03-31,金融機関,3,100,0.07
3157,ジオリーブグループ株式会社,2026-03-31,金融商品取引業者,13,647,0.47
3157,ジオリーブグループ株式会社,2026-03-31,その他の法人,122,"67,562",49.18
3157,ジオリーブグループ株式会社,2026-03-31,外国法人等 個人以外,24,433,0.32
3157,ジオリーブグループ株式会社,2026-03-31,外国法人等 個人,59,69,0.05
3157,ジオリーブグループ株式会社,2026-03-31,個人その他,"12,503","68,558",49.91
3157,ジオリーブグループ株式会社,2026-03-31,計,"12,724","137,369",100.00
3157,ジオリーブグループ株式会社,2026-03-31,単元未満株式の状況(株),,"30,152",
3159,丸善ＣＨＩホールディングス株式会社,2026-01-31,政府及び地方公共団体,,,
3159,丸善ＣＨＩホールディングス株式会社,2026-01-31,金融機関,2,"1,036",0.11
3159,丸善ＣＨＩホールディングス株式会社,2026-01-31,金融商品取引業者,21,"7,932",0.86
3159,丸善ＣＨＩホールディングス株式会社,2026-01-31,その他の法人,186,"703,256",76.03
3159,丸善ＣＨＩホールディングス株式会社,2026-01-31,外国法人等 個人以外,52,"21,367",2.31
3159,丸善ＣＨＩホールディングス株式会社,2026-01-31,外国法人等 個人,136,348,0.04
3159,丸善ＣＨＩホールディングス株式会社,2026-01-31,個人その他,"43,697","190,998",20.65
3159,丸善ＣＨＩホールディングス株式会社,2026-01-31,計,"44,094","924,937",100.00
3159,丸善ＣＨＩホールディングス株式会社,2026-01-31,単元未満株式の状況(株),,"60,385",
3160,株式会社大光,2026-05-31,政府及び地方公共団体,,,
3160,株式会社大光,2026-05-31,金融機関,4,"9,167",6.16
3160,株式会社大光,2026-05-31,金融商品取引業者,7,154,0.10
3160,株式会社大光,2026-05-31,その他の法人,123,"34,637",23.28
3160,株式会社大光,2026-05-31,外国法人等 個人以外,8,92,0.06
3160,株式会社大光,2026-05-31,外国法人等 個人,82,222,0.14
3160,株式会社大光,2026-05-31,個人その他,"18,633","104,477",70.26
3160,株式会社大光,2026-05-31,計,"18,857","148,749",100.00
3160,株式会社大光,2026-05-31,単元未満株式の状況（株）,,"8,400",
3161,アゼアス株式会社,2026-04-30,政府及び地方公共団体,,,
3161,アゼアス株式会社,2026-04-30,金融機関,7,"4,031",6.64
3161,アゼアス株式会社,2026-04-30,金融商品取引業者,21,"2,627",4.32
3161,アゼアス株式会社,2026-04-30,その他の法人,35,"9,785",16.11
3161,アゼアス株式会社,2026-04-30,外国法人等 個人以外,16,535,0.88
3161,アゼアス株式会社,2026-04-30,外国法人等 個人,22,142,0.23
3161,アゼアス株式会社,2026-04-30,個人その他,"4,530","43,623",71.82
3161,アゼアス株式会社,2026-04-30,計,"4,631","60,743",100.00
3161,アゼアス株式会社,2026-04-30,単元未満株式の状況(株),,"11,101",
3166,ＯＣＨＩホールディングス株式会社,2026-03-31,政府及び地方公共団体,,,
3166,ＯＣＨＩホールディングス株式会社,2026-03-31,金融機関,5,"5,219",3.85
3166,ＯＣＨＩホールディングス株式会社,2026-03-31,金融商品取引業者,10,108,0.08
3166,ＯＣＨＩホールディングス株式会社,2026-03-31,その他の法人,227,"47,705",35.15
3166,ＯＣＨＩホールディングス株式会社,2026-03-31,外国法人等 個人以外,42,"1,418",1.04
3166,ＯＣＨＩホールディングス株式会社,2026-03-31,外国法人等 個人,119,126,0.09
3166,ＯＣＨＩホールディングス株式会社,2026-03-31,個人その他,"26,576","81,145",59.79
3166,ＯＣＨＩホールディングス株式会社,2026-03-31,計,"26,979","135,721",100.00
3166,ＯＣＨＩホールディングス株式会社,2026-03-31,単元未満株式の状況(株),,"38,870",
3167,株式会社ＴＯＫＡＩホールディングス,2026-03-31,政府及び地方公共団体,8,"1,175",0.084
3167,株式会社ＴＯＫＡＩホールディングス,2026-03-31,金融機関,33,"372,657",26.714
3167,株式会社ＴＯＫＡＩホールディングス,2026-03-31,金融商品取引業者,24,"37,813",2.710
3167,株式会社ＴＯＫＡＩホールディングス,2026-03-31,その他の法人,607,"180,640",12.949
3167,株式会社ＴＯＫＡＩホールディングス,2026-03-31,外国法人等 個人以外,178,"238,474",17.095
3167,株式会社ＴＯＫＡＩホールディングス,2026-03-31,外国法人等 個人,403,977,0.070
3167,株式会社ＴＯＫＡＩホールディングス,2026-03-31,個人その他,"135,723","563,239",40.376
3167,株式会社ＴＯＫＡＩホールディングス,2026-03-31,計,"136,976","1,394,975",100.000
3167,株式会社ＴＯＫＡＩホールディングス,2026-03-31,単元未満株式の状況（株）,,"182,477",
3168,株式会社ＭＥＲＦ,2025-08-31,政府及び地方公共団体,,,
3168,株式会社ＭＥＲＦ,2025-08-31,金融機関,3,"1,427",1.00
3168,株式会社ＭＥＲＦ,2025-08-31,金融商品取引業者,10,276,0.19
3168,株式会社ＭＥＲＦ,2025-08-31,その他の法人,89,"62,695",43.76
3168,株式会社ＭＥＲＦ,2025-08-31,外国法人等 個人以外,6,289,0.20
3168,株式会社ＭＥＲＦ,2025-08-31,外国法人等 個人,69,145,0.10
3168,株式会社ＭＥＲＦ,2025-08-31,個人その他,"14,915","78,447",54.75
3168,株式会社ＭＥＲＦ,2025-08-31,計,"15,092","143,279",100.00
3168,株式会社ＭＥＲＦ,2025-08-31,単元未満株式の状況（株）,,"9,300",
3169,株式会社ミサワ,2026-01-31,政府及び地方公共団体,,,
3169,株式会社ミサワ,2026-01-31,金融機関,,,
3169,株式会社ミサワ,2026-01-31,金融商品取引業者,12,105,0.15
3169,株式会社ミサワ,2026-01-31,その他の法人,65,146,0.21
3169,株式会社ミサワ,2026-01-31,外国法人等 個人以外,12,113,0.16
3169,株式会社ミサワ,2026-01-31,外国法人等 個人,27,35,0.05
3169,株式会社ミサワ,2026-01-31,個人その他,"17,030","70,670",99.43
3169,株式会社ミサワ,2026-01-31,計,"17,146","71,069",100
3169,株式会社ミサワ,2026-01-31,単元未満株式の状況(株),,"5,500",
3172,ティーライフ株式会社,2025-07-31,政府及び地方公共団体,0,0,0.00
3172,ティーライフ株式会社,2025-07-31,金融機関,1,360,0.84
3172,ティーライフ株式会社,2025-07-31,金融商品取引業者,9,71,0.16
3172,ティーライフ株式会社,2025-07-31,その他の法人,41,"15,397",36.23
3172,ティーライフ株式会社,2025-07-31,外国法人等 個人以外,15,153,0.36
3172,ティーライフ株式会社,2025-07-31,外国法人等 個人,25,36,0.08
3172,ティーライフ株式会社,2025-07-31,個人その他,"10,753","26,480",62.31
3172,ティーライフ株式会社,2025-07-31,計,"10,844","42,497",100
3172,ティーライフ株式会社,2025-07-31,単元未満株式の状況(株),,"18,200",
3173,株式会社Ｃｏｍｉｎｉｘ,2026-03-31,政府及び地方公共団体,,,
3173,株式会社Ｃｏｍｉｎｉｘ,2026-03-31,金融機関,1,1,0.00
3173,株式会社Ｃｏｍｉｎｉｘ,2026-03-31,金融商品取引業者,13,312,0.45
3173,株式会社Ｃｏｍｉｎｉｘ,2026-03-31,その他の法人,69,"9,685",14.12
3173,株式会社Ｃｏｍｉｎｉｘ,2026-03-31,外国法人等 個人以外,12,333,0.49
3173,株式会社Ｃｏｍｉｎｉｘ,2026-03-31,外国法人等 個人,20,49,0.07
3173,株式会社Ｃｏｍｉｎｉｘ,2026-03-31,個人その他,"10,213","58,209",84.87
3173,株式会社Ｃｏｍｉｎｉｘ,2026-03-31,計,"10,328","68,589",100.00
3173,株式会社Ｃｏｍｉｎｉｘ,2026-03-31,単元未満株式の状況(株),,"9,940",
3174,株式会社ハピネス・アンド・ディ,2025-08-31,政府及び地方公共団体,,,
3174,株式会社ハピネス・アンド・ディ,2025-08-31,金融機関,1,2,0.007
3174,株式会社ハピネス・アンド・ディ,2025-08-31,金融商品取引業者,10,157,0.608
3174,株式会社ハピネス・アンド・ディ,2025-08-31,その他の法人,39,"1,597",6.188
3174,株式会社ハピネス・アンド・ディ,2025-08-31,外国法人等 個人以外,4,74,0.286
3174,株式会社ハピネス・アンド・ディ,2025-08-31,外国法人等 個人,23,38,0.147
3174,株式会社ハピネス・アンド・ディ,2025-08-31,個人その他,"5,127","23,938",92.761
3174,株式会社ハピネス・アンド・ディ,2025-08-31,計,"5,204","25,806",100.000
3174,株式会社ハピネス・アンド・ディ,2025-08-31,単元未満株式の状況（株）,,"11,000",
3175,株式会社エー・ピーホールディングス,2026-03-31,政府及び地方公共団体,,,
3175,株式会社エー・ピーホールディングス,2026-03-31,金融機関,,,
