証券コード,会社名,会計基準,決算期,年度,指標,値,この値の基準,出所書類,本体か訂正か
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2023,経常利益,35898000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2024,経常利益,-233562000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2025,経常利益,-390628000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2021,総資産,1754789000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2022,総資産,1598576000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2023,総資産,1655531000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2024,総資産,2248958000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2025,総資産,1884912000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2021,自己資本比率,0.960,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2022,自己資本比率,0.965,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2023,自己資本比率,0.952,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2024,自己資本比率,0.982,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2025,自己資本比率,0.946,JGAAP,S100XSIT,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2022,EPS,55.51,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2023,EPS,68.22,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2024,EPS,76.67,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2025,EPS,81.66,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2026,EPS,90.17,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2022,ROE,0.0962,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2023,ROE,0.1044,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2024,ROE,0.1024,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2025,ROE,0.0965,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2026,ROE,0.0954,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2022,営業CF,29118000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2023,営業CF,3396000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2024,営業CF,54486000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2025,営業CF,40379000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2026,営業CF,53242000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2025,営業利益,31779000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2026,営業利益,40430000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2022,売上高,693682000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2023,売上高,768181000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2024,売上高,831375000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2025,売上高,886126000000,JGAAP,S100YHOQ,本体
